iter	Passed	Remaining
530	10254	9057
531	10266	9031
532	10278	9005
533	10290	8980
534	10302	8954
535	10313	8927
536	10325	8902
537	10337	8877
538	10349	8851
539	10361	8826
540	10377	8804
541	10402	8790
542	10422	8772
543	10445	8755
544	10468	8739
545	10491	8723
546	10510	8704
547	10532	8687
548	10554	8670
549	10568	8646
550	10580	8621
551	10596	8599
552	10607	8573
553	10618	8548
554	10629	8522
555	10646	8502
556	10671	8487
557	10736	8504
558	10768	8495
559	10803	8488
560	10829	8474
561	10845	8452
562	10863	8432
563	10885	8414
564	10914	8403
565	10947	8394
566	10996	8397
567	11046	8401
568	11084	8396
569	11122	8390
570	11174	8395
571	11213	8390
572	11232	8370
573	11250	8349
574	11277	8335
575	11311	8326
576	11336	8310
577	11378	8307
578	11426	8308
579	11460	8299
580	11483	8281
581	11532	8282
582	11553	8263
583	11572	8243
584	11588	8221
585	11605	8199
586	11620	8175
587	11642	8157
588	11658	8135
589	11675	8113
590	11689	8089
591	11705	8067
592	11724	8046
593	11741	8025
594	11755	8001
595	11770	7978
596	11786	7956
597	11801	7933
598	11817	7911
599	11830	7887
600	11847	7865
601	11860	7841
602	11876	7819
603	11894	7798
604	11909	7775
605	11923	7751
606	11936	7728
607	11948	7703
608	11960	7679
609	11972	7654
610	11984	7629
611	11997	7606
612	12012	7583
613	12027	7561
614	12046	7541
615	12063	7520
616	12083	7500
617	12104	7482
618	12132	7467
619	12164	7455
620	12185	7437
621	12204	7416
622	12224	7397
623	12248	7380
624	12300	7380
625	12327	7365
626	12344	7343
627	12360	7321
628	12376	7299
629	12392	7278
630	12415	7260
631	12427	7236
632	12439	7212
633	12451	7188
634	12464	7164
635	12476	7140
636	12491	7118
637	12508	7097
638	12526	7076
639	12556	7063
640	12575	7043
641	12597	7024
642	12615	7004
643	12632	6983
644	12648	6961
645	12662	6938
646	12674	6915
647	12687	6891
648	12698	6867
649	12711	6844
650	12727	6823
651	12741	6800
652	12756	6778
653	12772	6757
654	12786	6734
655	12798	6711
656	12810	6688
657	12824	6665
658	12842	6645
659	12872	6631
660	12888	6609
661	12904	6588
662	12920	6567
663	12938	6547
664	12957	6527
665	12973	6506
666	12989	6484
667	13003	6462
668	13016	6439
669	13027	6416
670	13041	6394
671	13054	6371
672	13066	6348
673	13082	6327
674	13099	6307
675	13117	6287
676	13135	6267
677	13153	6246
678	13169	6225
679	13186	6205
680	13203	6185
681	13221	6164
682	13238	6144
683	13253	6122
684	13267	6100
685	13284	6080
686	13298	6058
687	13311	6036
688	13321	6013
689	13335	5991
690	13350	5969
691	13363	5947
692	13382	5928
693	13409	5912
694	13443	5899
695	13470	5883
696	13496	5867
697	13532	5854
698	13558	5838
699	13576	5818
700	13591	5797
701	13605	5775
702	13616	5752
703	13630	5730
704	13642	5708
705	13656	5686
706	13672	5666
707	13686	5644
708	13702	5623
709	13713	5601
710	13731	5581
711	13748	5561
712	13770	5542
713	13788	5523
714	13805	5502
715	13815	5480
716	13828	5457
717	13839	5435
718	13852	5413
719	13864	5391
720	13877	5370
721	13893	5349
722	13910	5329
723	13927	5309
724	13944	5289
725	13961	5269
726	13977	5248
727	13993	5228
728	14011	5208
729	14029	5188
730	14046	5169
731	14060	5147
732	14073	5126
733	14084	5104
734	14098	5083
735	14111	5061
736	14124	5040
737	14139	5019
738	14152	4998
739	14163	4976
740	14175	4954
741	14189	4933
742	14203	4913
743	14215	4891
744	14226	4869
745	14237	4847
746	14249	4826
747	14260	4804
748	14276	4784
749	14291	4763
750	14307	4743
751	14323	4723
752	14339	4703
753	14355	4683
754	14370	4663
755	14386	4643
756	14402	4623
757	14419	4603
758	14431	4582
759	14442	4560
760	14454	4539
761	14465	4518
762	14477	4496
763	14489	4475
764	14500	4454
765	14515	4434
766	14531	4414
767	14541	4392
768	14553	4371
769	14566	4350
770	14584	4331
771	14597	4311
772	14610	4290
773	14620	4269
774	14640	4250
775	14665	4233
776	14688	4215
777	14710	4197
778	14732	4179
779	14751	4160
780	14770	4141
781	14791	4123
782	14808	4103
783	14825	4084
784	14842	4065
785	14860	4046
786	14878	4026
787	14895	4007
788	14912	3988
789	14933	3969
790	14952	3950
791	14973	3932
792	14991	3913
793	15012	3895
794	15034	3876
795	15056	3858
796	15078	3840
797	15098	3821
798	15122	3804
799	15144	3786
800	15161	3766
801	15176	3746
802	15192	3727
803	15206	3707
804	15224	3687
805	15241	3668
806	15260	3649
807	15278	3630
808	15305	3613
809	15326	3595
810	15345	3576
811	15363	3556
812	15380	3537
813	15394	3517
814	15411	3498
815	15428	3479
816	15448	3460
817	15473	3442
818	15505	3426
819	15527	3408
820	15554	3391
821	15584	3374
822	15606	3356
823	15625	3337
824	15652	3320
825	15668	3300
826	15685	3281
827	15706	3262
828	15732	3245
829	15753	3226
830	15773	3207
831	15793	3189
832	15815	3170
833	15846	3154
834	15872	3136
835	15895	3118
836	15914	3099
837	15933	3080
838	15962	3063
839	15982	3044
840	15997	3024
841	16015	3005
842	16034	2986
843	16062	2968
844	16095	2952
845	16131	2936
846	16163	2919
847	16194	2902
848	16214	2883
849	16250	2867
850	16298	2853
851	16360	2842
852	16384	2823
853	16411	2805
854	16432	2786
855	16460	2768
856	16491	2751
857	16520	2734
858	16551	2716
859	16581	2699
860	16604	2680
861	16623	2661
862	16638	2641
863	16654	2621
864	16669	2601
865	16689	2582
866	16704	2562
867	16720	2542
868	16738	2523
869	16756	2503
870	16772	2484
871	16787	2464
872	16803	2444
873	16818	2424
874	16835	2405
875	16853	2385
876	16873	2366
877	16893	2347
878	16921	2329
879	17037	2323
880	17111	2311
881	17171	2297
882	17188	2277
883	17202	2257
884	17218	2237
885	17234	2217
886	17249	2197
887	17276	2179
888	17299	2160
889	17318	2140
890	17338	2121
891	17360	2101
892	17388	2083
893	17416	2064
894	17434	2045
895	17452	2025
896	17470	2006
897	17528	1990
898	17549	1971
899	17567	1951
900	17586	1932
901	17607	1912
902	17627	1893
903	17671	1876
904	17704	1858
905	17736	1840
906	17774	1822
907	17792	1802
908	17812	1783
909	17830	1763
910	17860	1744
911	17884	1725
912	17908	1706
913	17923	1686
914	17939	1666
915	17955	1646
916	17971	1626
917	17986	1606
918	18000	1586
919	18014	1566
920	18029	1546
921	18044	1526
922	18059	1506
923	18076	1486
924	18090	1466
925	18110	1447
926	18130	1427
927	18159	1408
928	18190	1390
929	18212	1370
930	18235	1351
931	18252	1331
932	18272	1312
933	18302	1293
934	18323	1273
935	18341	1254
936	18365	1234
937	18387	1215
938	18406	1195
939	18426	1176
940	18447	1156
941	18466	1137
942	18490	1117
943	18506	1097
944	18521	1077
945	18536	1058
946	18551	1038
947	18567	1018
948	18582	998
949	18597	978
950	18611	958
951	18624	939
952	18639	919
953	18653	899
954	18672	879
955	18695	860
956	18717	841
957	18739	821
958	18765	802
959	18788	782
960	18819	763
961	18841	744
962	18863	724
963	18880	705
964	18895	685
965	18910	665
966	18925	645
967	18941	626
968	18954	606
969	18969	586
970	19001	567
971	19039	548
972	19074	529
973	19118	510
974	19149	491
975	19171	471
976	19185	451
977	19200	431
978	19217	412
979	19232	392
980	19247	372
981	19262	353
982	19277	333
983	19292	313
984	19307	294
985	19329	274
986	19358	254
987	19378	235
988	19404	215
989	19428	196
990	19475	176
991	19494	157
992	19512	137
993	19531	117
994	19550	98
995	19567	78
996	19583	58
997	19597	39
998	19611	19
999	19627	0
